day,CHINA FEIHE LTD,ASSOC BRIT FOODS,ANHEUSER-BUSCH I,KONINKLIJKE AHOL,AIR FRANCE-KLM,AIR LIQUIDE SA,ALSTOM,ALTEN,ATOS SE,BEIERSDORF AG,DANONE,BUNZL PLC,BOOHOO GROUP PLC,BUREAU VERITAS S,LYX CAC 40,CAPGEMINI SE,CARLSBERG-B,CIE FINANCI-REG,COMPASS GROUP,DEUTSCHE BOERSE,DIAGEO PLC,DEUTSCHE POST-RG,DASSAULT SYSTEME,DWS GROUP GMBH &,ESSILORLUXOTTICA,ELIS SA,EURONEXT NV,FIAT CHRYSLER AU,EIFFAGE,GIVAUDAN-REG,HEINEKEN NV,HENKEL AG -PFD,HELLOFRESH SE,THALES SA,INTERTEK GROUP,INDITEX,JERONIMO MARTINS,KERING,KINGFISHER PLC,L'OREAL,PARTNERS GROUP J,PANDORA A/S,PSP SWISS PR-REG,RECKITT BENCKISE,REMY COINTREAU,RELX PLC,PERNOD RICARD SA,SOLUTIONS 30 SE,SEGRO PLC,SGS SA-REG,SEB SA,SWISS PRIME -REG,SCHNEIDER ELECTR,SYMRISE AG,TESCO PLC,PEUGEOT SA,UNILEVER PLC,VIVENDI,VONOVIA SE,WOLTERS KLUWER,WHITBREAD PLC,ZALANDO SE
3-nov.,0,0,0.2,1.2,0,7.7,0,1.3,0,0,0,0,0.5,4.1,0,0,0,0,21.7,0,0,0,0,1.1,0,0,2.6,14.3,0,0,0,0,0,0,1.6,15,0,4.9,1.2,4.6,5,12.3,1.7,0,0,0.1,26.3,0,0,0,0.6,0,13,15.4,0,19.5,4.7,0,0,0,0,0
4-nov.,0,0,0,4.8,0,5.5,0,0,0,0,0,0,2.2,4.1,0,0,0,0.3,20.8,0,0,0,0,0,0,0,0.8,15.9,0,0,0,0,0,0,1.4,11.2,0,0.3,0.1,15.1,8.6,12.3,1,0,0,0.1,23.7,0,0,0,1.5,0,14.4,9.7,0,23.9,0.5,0,0.8,0,0,0
5-nov.,0,0,0,6.7,0,3.6,0,0,0,0,0,0,3.4,4.1,0,0,0,1.8,15.1,0,0,1.7,0,0,0,0,2.3,18.3,0,0,0,0,0,0,1.2,5.1,0.3,0,3.7,13.9,11.6,12.3,0.8,0,0,0.1,22.5,0,0.3,0,2.2,0,16.8,8.6,0,31.4,0.3,0,0.7,0,0,0
6-nov.,0,0,0,7.3,0,3,0,0,0,0,0,0,3.1,4.1,0,0,0,6,18.1,0,0,2.1,0,0,0.6,0,2.7,16.5,0,0,0,0,0,0,1.4,5.1,1.2,0,5,11.9,11.6,12.3,0.8,0,0,0.1,22.4,0,0.2,0,1.7,0,16.2,9.6,0,24.8,0,0,0.9,0,0,0
9-nov.,0,1.8,0,11.1,0,0,0,0,0,0,0,1.3,0,4.1,0,3,18.6,11.4,5.4,0,0,0,0,0,21.3,4,4.1,23,0,4.7,0,0,0,26.1,1.2,0,1.9,0,0,27.1,13.6,12.3,0.4,0,0,0,10.8,0,0,0,0.1,0.2,24.3,18.2,0,42.9,0,0,0,0,0,0
10-nov.,0,5.2,0,13.9,0,0.4,0,0,0,0,0,2.4,0,4.1,0,0,31.1,10.1,1.2,0,0,0,0,0,20,4.4,7.9,25.9,0,11,0,0,0,31.2,0.6,0,0.6,0,0,31.8,7.6,12.3,0.6,0,0,0,9,0,0,0,0,0.3,24.7,21.6,0,52.9,0,0,0,0.8,0,0
11-nov.,0,4.7,0,11.3,0,0,0,0,0.4,0,0,1.4,2.1,4.1,0,0,37.4,11,1.7,0,0,0,0,0,18.6,3.2,6,26.8,0,8.4,0,0,0,34.4,0.3,0,1.2,0,0.3,35.7,9.5,12.3,0.3,0,0.1,0,8.3,0,0,0,1,0.4,25,18.8,0,53.7,0,0,0.3,0.7,0,0
12-nov.,0,3.3,0,11.4,0,1.3,0,0,0,0,0,0.6,2.3,4.1,0,0,33.4,9.1,4.2,3,0,0,0,0,14.2,3.9,4.8,24.4,0,8.1,0,0,0,33.2,0.2,0,1.8,0,0,35.1,8.4,12.3,0.8,0,0,0,10.5,0,0,0,0,0.3,24.6,18.1,0,47.8,0,0,0,0.6,0,0
13-nov.,0,1.9,0,11.9,0,2.1,0,0,1.8,0,0,2.1,4.1,5.8,0,0,29.3,9.5,5.2,6.5,0,0,0,0,13.9,3.5,5.4,25.8,0,8.6,0,0,0,37,0.6,0,1.6,0,0,33.9,8.3,12.3,1.2,0,0,0,10.5,0,0,0,0.1,0.2,24.5,18,0,51.5,0,0,0,1.4,0,0
16-nov.,0,4.3,0,12.2,0,3,0,0,6.5,0,0,4,4.7,0.8,0,0,38.2,10.3,3.2,5.2,0,0,0,0,14.7,5.5,6.3,29.4,0,12.8,0,0,0,51.1,0.4,0,1.3,0,0,35.5,8.7,12.3,0.7,0,0.3,0,6.6,0,0,0,1.8,0.3,24.5,18.1,0,61.4,0,0,0,4.7,0,0
